Vmag,Plx,B-V,Amag,TargetClass
5.99,13.592265151743131,1.318,16.678352,0
8.7,2.196456728896808,-0.045,15.51806,0
5.77,5.802407336001663,0.855,14.471813,0
6.72,5.989587832167918,-0.015,15.324928,1
8.76,14.0671700659791,0.584,19.401997,1
4.9,8.633731292537288,-0.091,14.513628,0
8.6,6.1801593839902775,0.448,17.133589,1
6.24,8.793151443187432,0.68,15.777057,0
7.31,2.2776500068241234,1.164,13.657564,0
9.52,2.801743121786979,1.5,15.05605,0
6.18,6.434733773745984,1.467,15.045273,0
7.57,10.474338701273757,0.528,17.260096,1
7.58,3.439680082111748,1.626,15.281647,0
8.27,1.7755295493273362,0.146,14.317575,1
9.03,2.9773362393005787,1.106,10.931056,1
9.79,6.208140051126639,0.711,17.750885,1
8.69,2.03381308365085,1.444,15.162331,0
9.1,7.904671279292929,0.417,18.463696,1
9.26,17.028126124196916,0.831,20.393,1
9.72,17.391444317669755,0.845,20.525341,1
7.6,5.816760828307007,1.064,16.457937,1
4.83,33.79213627114622,0.421,17.570717,1
8.44,0.7725061206901969,1.404,12.141813,0
5.96,22.606655707753617,0.419,17.713177,1
8.01,12.513945483755675,0.406,18.140623,1
9.26,4.940953519641441,0.448,17.652592,1
6.77,2.524456999414264,-0.073,13.785603,0
7.58,5.445189150930773,1.037,16.205473,0
7.97,3.365407872155455,1.086,15.461553,0
9.17,1.761040597401075,1.029,15.4221,0
7.27,3.754899976560941,1.129,15.225323,0
8.26,4.568965922179784,1.038,16.648035,0
7.66,4.320027809217753,1.034,16.061678,0
8.97,0.0345468852947097,1.724,9.539717,0
9.01,0.0098139316325146,1.518,10.621097,0
9.27,4.892734948408644,1.03,18.05318,1
8.76,3.993872273668954,0.508,17.054825,1
8.85,1.886021739049866,-0.126,15.419336,1
5.97,3.715779819842577,1.491,13.769533,0
9.41,4.291364102363982,0.947,17.852098,1
9.08,4.694439375704249,1.032,16.323532,0
7.88,7.043361804127314,0.383,16.68964,1
9.35,0.6609609129944677,1.458,13.240757,1
5.54,31.4416879025605,0.347,17.894993,1
6.24,4.199730403241426,1.424,13.168032,0
8.26,3.847154951010098,1.392,15.36802,0
7.92,6.923929435493886,0.621,16.957676,1
10.11,1.17019821504972,0.32,9.335489,0
8.74,0.3360522166748507,0.98,15.028393,0
9.2,1.4547160653415665,0.931,12.694849,0
7.73,10.838837519413666,0.461,17.420095,0
7.38,1.4935566543228376,1.197,11.666662,0
8.99,11.838467674566198,0.647,18.996504,1
7.81,2.779368398502029,1.082,15.987419,1
4.96,4.493495465606024,-0.068,13.361678,0
9.01,12.440145996419083,0.56,19.205086,1
8.15,0.8329041985084257,1.248,13.92668,0
5.63,99.77601464785292,0.804,20.635204,1
8.91,3.91523321770446,0.502,16.489368,1
7.67,4.344589039033179,0.983,15.402714,0
7.91,1.7613625289551798,1.0,14.917003,0
8.44,0.5529353517786646,1.15,15.706592,0
7.97,17.108381203464358,0.552,19.032269,1
8.19,3.509216067748942,0.073,15.53911,1
8.79,1.759511159743999,1.168,13.8959465,0
8.16,2.8453345918806097,1.459,14.587786,0
8.81,1.0045508963603256,1.216,9.205907,0
8.97,5.586915252777205,0.595,18.027874,1
6.0,10.443910094656868,1.142,16.157042,0
6.07,6.496505232111786,1.535,14.905779,0
8.36,2.776553577732382,1.158,15.965691,0
7.58,0.2135605779861221,1.644,11.359374,0
8.78,8.098738627397811,0.474,17.23098,1
9.2,2.1462390511127976,1.652,14.80287,0
9.35,26.33550664586908,0.951,21.500376,1
8.92,13.284419083362124,0.495,19.225376,1
7.93,8.380556173599878,0.436,17.240656,1
9.95,5.595358253776439,0.476,18.883757,1
8.13,3.114832170201537,0.999,16.453209,0
6.22,4.224089749749338,0.97,14.486063,0
8.99,1.091127859308802,0.979,14.996985,1
9.36,8.078794518667044,0.547,18.97622,1
7.91,6.058005392556869,0.314,16.623627,1
8.79,5.088175372267513,0.333,17.503626,1
9.55,4.9941761408861085,0.473,17.94714,1
6.97,6.155391929403929,1.163,15.734081,0
6.6,4.748290798638344,1.085,15.059826,0
8.11,6.40375576100607,0.906,16.96426,1
8.89,4.808082376930297,0.402,17.47419,1
9.73,0.8013421213852845,0.476,16.886818,1
6.23,1.0684388638976203,-0.036,11.991442,0
9.22,5.320165073271146,0.537,17.791649,1
8.49,7.457143114618453,0.38,17.67162,1
8.89,4.9550554431893055,0.991,17.68834,0
7.94,13.364345493140847,0.407,18.667538,1
7.51,6.192720676677531,1.473,15.898035,1
9.53,4.034573111315703,0.94,18.13493,1
8.02,1.809912226510337,1.521,13.487109,0
6.72,5.178750057140465,0.394,15.472542,0
8.28,11.42751970342537,0.476,18.600418,1
10.12,5.341744332541058,0.459,18.47123,1
7.03,12.913978222653588,0.34,17.549019,1
9.64,6.354710670262621,1.012,18.754108,1
6.26,8.43622678332443,0.965,15.469924,0
6.37,9.482495597344512,1.006,16.240253,0
9.79,10.957138159456784,0.545,19.942997,1
5.88,7.087629186579071,-0.014,14.770757,1
7.62,14.099345436361483,0.465,18.22287,1
8.91,7.005850592803672,0.813,17.60786,1
8.33,10.247401365734582,0.554,17.864368,1
6.75,3.94187812434073,0.996,15.187645,0
9.29,6.023755137121025,0.588,17.217304,0
7.28,6.143082702677551,1.168,16.448921,0
6.43,2.7179393288313363,1.595,13.976012,0
8.95,1.2130826503392709,1.549,14.649395,0
8.42,7.550631485668532,0.425,17.685448,1
8.57,2.58051736962678,1.459,15.321239,0
7.48,5.794696032666591,0.949,16.603882,1
9.34,4.734729513680882,0.856,16.754368,0
6.77,11.680638474112756,0.328,17.138592,1
8.28,5.489979857184707,0.473,17.181587,0
8.4,4.816994167364679,1.04,15.952724,0
9.58,8.594678840789284,0.547,19.17015,1
8.82,14.756180201481284,0.602,19.740618,1
